id;tracking_code;date;details;invoice_id
1;Mouse Villages;2021-10-31T02:10:00;unleash integrate;1
2;Gloves Account Belarussian;2021-10-31T12:10:21;Orchestrator Stravenue;2
3;Gorgeous Checking;2021-10-30T17:28:53;SSL zero;3
4;user-facing turquoise;2021-10-31T07:19:01;Iran Garden auxiliary;4
5;experiences multi-tasking Tasty;2021-10-30T18:46:54;Viaduct Bedfordshire;5
6;Shoes Avon;2021-10-31T14:08:27;Lilangeni;6
7;Music Handmade;2021-10-30T23:46:05;Estate red;7
8;Officer mobile Specialist;2021-10-31T09:36:08;system;8
9;bypass;2021-10-31T15:08:26;Streamlined;9
10;invoice Quality-focused hack;2021-10-30T19:29:15;wireless Borders;10
